condition1,condition2,trialNo,response_m,response_r,response_l,p_resp_s,p_meanRT_s,p_resp_rf,p_meanRT_rf,c_resp_s,c_meanRT_s,c_resp_rf,c_meanRT_rf,may_resp_s,may_meanRT_s,may_resp_rf,may_meanRT_rf,might_resp_s,might_meanRT_s,might_resp_rf,might_meanRT_rf,o_resp_s,o_meanRT_s,o_resp_rf,o_meanRT_rf,s_resp_s,s_meanRT_s,s_resp_rf,s_meanRT_rf
impossible,scenario4,196,,,,,,,,0.13157894736842105,1006.3157894736842,0.07142857142857142,1955.4285714285713,0.0,1015.952380952381,0.14285714285714285,1715.857142857143,0.041666666666666664,988.2291666666666,0.0,1803.0,0.0,914.925,0.0,2420.4285714285716,0.023809523809523808,964.5,0.0,2022.1
flouting,scenario4,197,,,,,,,,0.4594594594594595,1123.5135135135135,0.43333333333333335,2765.3333333333335,0.2564102564102564,1084.6410256410256,0.5,2531.65,0.10869565217391304,1032.2173913043478,0.14285714285714285,1666.2857142857142,0.075,1004.575,0.0,2055.4545454545455,0.023255813953488372,1023.7209302325581,0.0,3271.125
immoral,scenario4,198,,,,,,,,0.6666666666666666,1024.611111111111,0.5769230769230769,3267.230769230769,0.2972972972972973,1064.2162162162163,0.3157894736842105,3002.315789473684,0.2765957446808511,1049.7021276595744,0.2857142857142857,2001.7142857142858,0.075,934.225,0.0625,2387.3125,0.07317073170731707,962.3170731707318,0.0,2121.1666666666665
immoral,scenario4,199,,,,,,,,0.24390243902439024,1035.7073170731708,0.2631578947368421,2347.3684210526317,0.09302325581395349,945.046511627907,0.3076923076923077,2177.0,0.0425531914893617,938.4042553191489,0.0,2294.5,0.025,857.775,0.0,2321.25,0.023255813953488372,835.2325581395348,0.0,1974.4444444444443
flouting,scenario4,200,,,,,,,,0.5625,1197.40625,0.5428571428571428,2949.114285714286,0.37142857142857144,1177.3142857142857,0.5,2143.5882352941176,0.3,1158.425,0.1111111111111111,2228.1111111111113,0.10526315789473684,1135.3157894736842,0.0,2449.8571428571427,0.024390243902439025,1184.9024390243903,0.0,2144.653846153846
impossible,scenario4,201,,,,,,,,0.09523809523809523,1016.6190476190476,0.0,2373.818181818182,0.0,1029.5714285714287,0.15384615384615385,1797.5384615384614,0.043478260869565216,961.1739130434783,0.0,1629.1666666666667,0.0,894.9487179487179,0.0,2352.818181818182,0.0,901.5348837209302,0.08333333333333333,3327.6666666666665
ordinary,scenario4,202,,,,,,,,0.9512195121951219,1005.1463414634146,0.9473684210526315,2474.2105263157896,0.9069767441860465,1074.4651162790697,1.0,2165.1,0.9,1057.52,0.9,2194.3,0.8536585365853658,1031.8536585365853,0.9444444444444444,2059.4444444444443,0.9285714285714286,1068.5714285714287,0.9090909090909091,1968.8181818181818
impossible,scenario4,203,,,,,,,,0.2,991.85,0.08,2259.92,0.11627906976744186,1046.8372093023256,0.08333333333333333,2389.25,0.10638297872340426,954.2553191489362,0.0,1850.5,0.0,920.975,0.1,2702.6,0.09302325581395349,898.5813953488372,0.1,2876.5
flouting,scenario4,204,,,,,,,,0.45714285714285713,1079.6857142857143,0.4722222222222222,2669.6388888888887,0.23684210526315788,1117.3157894736842,0.2962962962962963,2218.037037037037,0.06666666666666667,1033.111111111111,0.2222222222222222,1801.5555555555557,0.04878048780487805,1022.9024390243902,0.0,2752.3888888888887,0.047619047619047616,1013.1904761904761,0.0,2094.6315789473683
ordinary,scenario4,205,,,,,,,,0.8947368421052632,1048.078947368421,1.0,2317.6666666666665,0.9230769230769231,1075.2564102564102,0.8947368421052632,2119.5789473684213,0.8775510204081632,1065.6530612244899,0.75,2390.625,0.775,1047.95,0.9090909090909091,2501.2272727272725,0.8333333333333334,1058.4761904761904,1.0,2800.866666666667
